job_n,default_n,poutcome_n,duration,campaign,euribor3m,y_n
4.0,0.0,0.0,360.0,1.0,4.857,0
1.0,0.0,0.0,51.0,5.0,4.963,0
1.0,0.0,0.0,268.0,1.0,4.961,0
4.0,0.0,0.0,453.0,3.0,4.957,0
4.0,0.0,0.0,131.0,1.0,4.968,0
2.0,0.0,0.0,43.0,1.0,4.021,0
2.0,0.0,0.0,68.0,1.0,4.858,0
3.0,0.0,0.0,97.0,3.0,1.291,0
4.0,0.0,1.0,110.0,1.0,0.876,0
3.0,0.0,0.0,85.0,2.0,4.857,0
2.0,0.0,0.0,67.0,1.0,4.958,0
2.0,0.0,0.0,696.0,10.0,0.718,1
2.0,0.0,0.0,47.0,2.0,1.56,0
4.0,0.0,0.0,448.0,1.0,4.96,0
1.0,1.0,0.0,80.0,4.0,4.864,0
3.0,1.0,0.0,724.0,1.0,4.963,1
1.0,1.0,0.0,40.0,5.0,4.961,0
4.0,1.0,0.0,318.0,3.0,4.963,0
2.0,0.0,0.0,100.0,4.0,4.959,0
5.0,0.0,0.0,695.0,1.0,4.962,1
4.0,0.0,0.0,870.0,2.0,4.963,0
3.0,0.0,0.0,161.0,1.0,1.334,0
4.0,1.0,0.0,72.0,3.0,4.858,0
10.0,1.0,0.0,217.0,2.0,1.281,0
8.0,0.0,0.0,587.0,1.0,4.959,1
4.0,1.0,0.0,405.0,3.0,4.96,0
1.0,0.0,0.0,95.0,4.0,4.857,0
8.0,0.0,0.0,103.0,1.0,4.153,0
4.0,0.0,0.0,272.0,3.0,0.644,1
8.0,1.0,0.0,35.0,24.0,4.86,0
1.0,0.0,0.0,220.0,1.0,4.96,0
2.0,0.0,0.0,188.0,2.0,4.963,0
3.0,0.0,0.0,252.0,4.0,4.962,0
6.0,0.0,0.0,290.0,1.0,4.857,0
3.0,0.0,0.0,1294.0,2.0,4.963,1
2.0,0.0,2.0,370.0,1.0,0.643,0
2.0,0.0,0.0,52.0,3.0,4.961,0
4.0,0.0,0.0,80.0,4.0,4.857,0
3.0,1.0,0.0,740.0,4.0,4.965,0
4.0,0.0,1.0,304.0,3.0,1.299,0
3.0,0.0,0.0,172.0,1.0,1.281,0
1.0,0.0,0.0,40.0,2.0,4.191,0
3.0,0.0,2.0,293.0,1.0,0.803,1
2.0,0.0,0.0,437.0,1.0,4.857,0
1.0,0.0,1.0,93.0,3.0,1.405,0
6.0,1.0,0.0,135.0,1.0,4.961,0
6.0,0.0,2.0,164.0,5.0,0.879,1
1.0,0.0,0.0,325.0,2.0,1.445,0
3.0,0.0,0.0,195.0,1.0,4.857,0
5.0,0.0,0.0,317.0,1.0,1.244,0
3.0,0.0,0.0,1373.0,4.0,4.957,1
2.0,0.0,0.0,50.0,1.0,4.96,0
5.0,1.0,0.0,327.0,5.0,4.962,0
2.0,0.0,0.0,22.0,3.0,4.86,0
2.0,0.0,0.0,326.0,1.0,1.244,0
3.0,1.0,0.0,208.0,1.0,1.266,0
2.0,0.0,0.0,413.0,5.0,1.048,0
4.0,0.0,0.0,361.0,2.0,1.291,0
4.0,0.0,0.0,2016.0,1.0,5.0,1
3.0,1.0,0.0,824.0,2.0,4.859,0
6.0,0.0,0.0,68.0,21.0,4.865,0
4.0,1.0,0.0,130.0,2.0,1.405,0
7.0,0.0,0.0,243.0,1.0,4.859,0
3.0,0.0,0.0,342.0,3.0,1.405,0
4.0,0.0,0.0,270.0,1.0,4.856,0
4.0,0.0,0.0,154.0,2.0,4.962,0
2.0,1.0,0.0,510.0,6.0,4.96,0
2.0,0.0,0.0,643.0,1.0,1.354,1
3.0,0.0,0.0,9.0,13.0,4.959,0
2.0,0.0,0.0,369.0,2.0,4.961,0
6.0,0.0,0.0,144.0,1.0,4.963,0
10.0,0.0,0.0,364.0,1.0,4.191,0
2.0,0.0,0.0,170.0,1.0,4.965,0
2.0,1.0,0.0,55.0,1.0,4.864,0
3.0,0.0,0.0,104.0,4.0,1.281,0
3.0,0.0,0.0,174.0,2.0,0.879,0
1.0,0.0,0.0,578.0,1.0,4.191,0
3.0,0.0,0.0,160.0,1.0,4.86,0
1.0,0.0,0.0,242.0,3.0,4.963,0
9.0,0.0,0.0,586.0,1.0,4.957,1
0.0,1.0,0.0,1200.0,1.0,4.96,0
10.0,0.0,0.0,485.0,3.0,4.959,0
4.0,0.0,0.0,142.0,2.0,4.97,0
8.0,0.0,1.0,72.0,4.0,0.987,0
6.0,0.0,0.0,154.0,1.0,4.962,0
6.0,0.0,1.0,331.0,1.0,0.876,1
1.0,0.0,1.0,318.0,1.0,1.313,0
4.0,1.0,0.0,365.0,3.0,4.959,0
7.0,0.0,0.0,33.0,4.0,4.968,0
6.0,0.0,0.0,81.0,1.0,4.86,0
4.0,1.0,0.0,247.0,1.0,4.856,0
2.0,0.0,1.0,56.0,1.0,1.299,0
2.0,0.0,0.0,107.0,3.0,4.96,0
1.0,0.0,0.0,192.0,1.0,0.876,0
1.0,0.0,0.0,94.0,6.0,1.244,0
2.0,0.0,0.0,96.0,2.0,4.964,0
2.0,0.0,0.0,393.0,2.0,4.855,0
4.0,0.0,1.0,191.0,2.0,1.281,0
0.0,0.0,0.0,479.0,1.0,0.838,1
2.0,0.0,0.0,68.0,2.0,4.968,0
5.0,0.0,0.0,158.0,1.0,1.466,1
3.0,0.0,0.0,302.0,1.0,4.857,0
1.0,0.0,0.0,193.0,1.0,1.281,0
3.0,0.0,0.0,109.0,1.0,1.365,0
2.0,0.0,1.0,112.0,4.0,1.244,0
3.0,1.0,0.0,400.0,1.0,4.957,0
4.0,0.0,0.0,170.0,3.0,1.291,0
6.0,0.0,0.0,379.0,2.0,4.857,0
5.0,0.0,0.0,87.0,9.0,4.856,0
1.0,0.0,0.0,48.0,7.0,1.25,0
2.0,1.0,0.0,134.0,1.0,4.857,0
3.0,0.0,0.0,164.0,1.0,1.405,0
5.0,0.0,0.0,101.0,23.0,4.86,0
2.0,1.0,0.0,114.0,5.0,4.962,0
2.0,0.0,2.0,234.0,1.0,0.683,1
8.0,0.0,0.0,59.0,4.0,4.076,0
3.0,1.0,0.0,17.0,5.0,4.959,0
4.0,0.0,0.0,401.0,1.0,4.12,0
3.0,0.0,0.0,18.0,2.0,4.967,0
9.0,0.0,0.0,213.0,1.0,4.856,0
3.0,1.0,0.0,163.0,2.0,4.856,0
8.0,0.0,0.0,58.0,10.0,4.858,0
6.0,0.0,1.0,128.0,1.0,1.266,0
4.0,0.0,0.0,319.0,2.0,4.857,0
0.0,0.0,0.0,336.0,1.0,4.858,0
5.0,0.0,1.0,203.0,1.0,0.84,0
3.0,0.0,0.0,26.0,1.0,1.313,0
10.0,0.0,1.0,134.0,1.0,4.191,0
5.0,0.0,1.0,89.0,5.0,0.834,0
7.0,0.0,0.0,180.0,1.0,4.191,0
5.0,0.0,0.0,377.0,3.0,4.968,0
7.0,1.0,0.0,273.0,1.0,4.962,0
6.0,0.0,2.0,300.0,2.0,1.26,1
10.0,0.0,0.0,8.0,7.0,1.266,0
2.0,0.0,0.0,173.0,3.0,4.964,0
0.0,1.0,0.0,293.0,2.0,4.857,0
2.0,0.0,0.0,138.0,2.0,4.153,0
3.0,0.0,0.0,378.0,3.0,1.354,0
2.0,0.0,0.0,26.0,25.0,4.864,0
3.0,0.0,1.0,383.0,1.0,1.313,0
3.0,0.0,0.0,331.0,4.0,4.961,0
3.0,1.0,1.0,155.0,1.0,1.281,0
8.0,1.0,0.0,835.0,4.0,4.96,0
2.0,0.0,0.0,483.0,1.0,4.857,0
10.0,0.0,1.0,272.0,4.0,1.281,0
2.0,0.0,0.0,544.0,1.0,1.51,0
8.0,1.0,0.0,39.0,5.0,4.959,0
2.0,0.0,0.0,280.0,5.0,4.962,0
3.0,0.0,0.0,145.0,1.0,4.96,0
6.0,1.0,0.0,508.0,4.0,4.964,0
3.0,0.0,1.0,70.0,1.0,1.405,0
1.0,0.0,0.0,128.0,1.0,1.313,0
3.0,0.0,0.0,172.0,1.0,4.857,0
1.0,0.0,0.0,485.0,1.0,4.857,0
3.0,0.0,1.0,1032.0,10.0,4.021,0
2.0,0.0,0.0,64.0,1.0,4.964,0
2.0,0.0,0.0,167.0,3.0,4.858,0
3.0,0.0,0.0,560.0,4.0,4.857,0
4.0,1.0,0.0,31.0,1.0,4.965,0
2.0,0.0,0.0,103.0,1.0,4.076,0
5.0,0.0,1.0,185.0,1.0,0.886,1
3.0,1.0,0.0,65.0,2.0,4.961,0
3.0,1.0,0.0,220.0,1.0,4.963,0
4.0,0.0,1.0,293.0,5.0,4.191,0
4.0,0.0,2.0,187.0,1.0,0.884,1
4.0,0.0,0.0,110.0,1.0,0.883,0
4.0,1.0,0.0,221.0,2.0,4.856,0
6.0,0.0,0.0,216.0,2.0,4.961,0
4.0,0.0,2.0,504.0,1.0,0.733,1
1.0,0.0,0.0,318.0,1.0,1.291,0
3.0,1.0,0.0,126.0,1.0,4.021,0
2.0,0.0,0.0,438.0,2.0,1.313,0
4.0,1.0,0.0,228.0,2.0,1.334,0
2.0,0.0,1.0,129.0,3.0,0.896,0
4.0,0.0,0.0,7.0,6.0,1.25,0
11.0,0.0,1.0,77.0,1.0,1.27,0
2.0,0.0,0.0,72.0,18.0,4.857,0
3.0,1.0,0.0,201.0,1.0,1.334,0
4.0,0.0,0.0,105.0,1.0,4.964,0
4.0,0.0,0.0,1165.0,4.0,4.963,0
11.0,0.0,0.0,52.0,9.0,1.244,0
3.0,0.0,0.0,153.0,10.0,4.965,0
2.0,0.0,0.0,121.0,1.0,4.968,0
11.0,0.0,0.0,81.0,7.0,4.957,0
2.0,0.0,0.0,1287.0,5.0,4.961,0
5.0,0.0,0.0,159.0,2.0,1.405,0
2.0,0.0,0.0,81.0,1.0,1.259,0
3.0,1.0,0.0,317.0,1.0,4.857,0
2.0,0.0,0.0,564.0,5.0,0.685,0
2.0,1.0,0.0,213.0,2.0,4.857,0
5.0,1.0,0.0,123.0,1.0,4.858,0
1.0,0.0,0.0,241.0,4.0,4.966,0
2.0,0.0,1.0,364.0,2.0,0.654,0
2.0,0.0,0.0,26.0,3.0,4.86,0
6.0,0.0,0.0,226.0,1.0,1.334,0
4.0,0.0,0.0,58.0,3.0,4.965,0
3.0,1.0,0.0,572.0,1.0,4.957,1
7.0,1.0,0.0,14.0,6.0,4.959,0
3.0,1.0,1.0,12.0,8.0,1.299,0
3.0,0.0,0.0,188.0,2.0,4.856,0
4.0,0.0,0.0,232.0,1.0,1.327,0
7.0,0.0,0.0,154.0,2.0,4.963,0
8.0,0.0,0.0,47.0,4.0,4.021,0
5.0,1.0,0.0,84.0,3.0,4.962,0
2.0,0.0,0.0,254.0,2.0,4.076,0
3.0,0.0,0.0,155.0,1.0,1.244,0
6.0,0.0,0.0,578.0,1.0,1.266,1
1.0,0.0,0.0,337.0,2.0,4.859,0
1.0,0.0,0.0,187.0,1.0,4.962,0
2.0,0.0,0.0,198.0,1.0,4.962,0
2.0,0.0,0.0,12.0,1.0,0.861,0
4.0,0.0,0.0,247.0,1.0,4.962,0
0.0,0.0,0.0,336.0,5.0,0.714,1
4.0,0.0,0.0,293.0,4.0,4.857,0
2.0,0.0,0.0,188.0,2.0,4.857,0
7.0,0.0,0.0,53.0,2.0,4.963,0
0.0,0.0,0.0,106.0,2.0,4.865,0
4.0,0.0,0.0,285.0,5.0,4.963,0
1.0,0.0,0.0,64.0,1.0,4.959,0
8.0,0.0,0.0,225.0,5.0,4.963,0
6.0,0.0,0.0,138.0,1.0,0.883,0
2.0,0.0,0.0,179.0,1.0,4.857,0
9.0,1.0,0.0,303.0,1.0,4.86,0
4.0,1.0,0.0,145.0,2.0,4.964,0
3.0,0.0,0.0,85.0,2.0,4.857,0
3.0,0.0,0.0,633.0,1.0,4.857,0
11.0,0.0,0.0,67.0,1.0,4.963,0
3.0,1.0,0.0,406.0,2.0,4.856,0
1.0,1.0,0.0,150.0,2.0,4.857,0
3.0,1.0,0.0,64.0,1.0,4.961,0
2.0,0.0,0.0,61.0,2.0,4.961,0
3.0,0.0,0.0,723.0,1.0,4.12,0
2.0,0.0,0.0,27.0,3.0,4.968,0
4.0,0.0,0.0,41.0,1.0,4.866,0
5.0,0.0,0.0,92.0,1.0,4.964,0
4.0,0.0,1.0,372.0,1.0,4.153,0
4.0,1.0,0.0,77.0,8.0,4.864,0
7.0,0.0,0.0,189.0,1.0,1.262,0
11.0,0.0,0.0,57.0,1.0,4.963,0
4.0,0.0,0.0,129.0,1.0,0.873,0
6.0,0.0,0.0,106.0,3.0,4.857,0
3.0,1.0,0.0,81.0,1.0,4.864,0
0.0,0.0,0.0,340.0,3.0,4.856,0
1.0,0.0,2.0,136.0,6.0,1.26,0
3.0,0.0,0.0,189.0,1.0,1.291,0
10.0,0.0,0.0,89.0,3.0,4.12,0
4.0,0.0,0.0,103.0,3.0,4.855,0
6.0,0.0,0.0,284.0,4.0,4.966,0
2.0,0.0,2.0,57.0,5.0,4.021,0
5.0,1.0,0.0,674.0,1.0,4.968,1
6.0,0.0,0.0,217.0,1.0,4.859,0
3.0,0.0,0.0,606.0,1.0,4.859,0
3.0,1.0,0.0,119.0,8.0,4.961,0
3.0,0.0,2.0,583.0,1.0,1.41,1
10.0,0.0,0.0,131.0,1.0,4.12,0
3.0,0.0,0.0,76.0,1.0,4.961,0
0.0,0.0,0.0,174.0,1.0,4.858,0
3.0,0.0,0.0,152.0,1.0,1.299,0
4.0,0.0,0.0,165.0,1.0,4.963,0
1.0,0.0,0.0,119.0,3.0,4.856,0
2.0,0.0,1.0,6.0,5.0,1.313,0
3.0,0.0,2.0,253.0,1.0,1.344,0
4.0,0.0,0.0,275.0,1.0,4.967,0
1.0,0.0,0.0,260.0,2.0,4.859,0
3.0,1.0,0.0,87.0,2.0,1.415,0
6.0,0.0,0.0,205.0,1.0,1.099,1
4.0,0.0,0.0,635.0,3.0,4.961,0
3.0,0.0,0.0,166.0,1.0,4.957,0
5.0,1.0,0.0,455.0,1.0,4.864,0
3.0,0.0,1.0,1410.0,1.0,1.41,0
6.0,0.0,0.0,260.0,1.0,4.965,0
8.0,0.0,0.0,890.0,4.0,4.962,1
3.0,1.0,0.0,96.0,3.0,4.968,0
4.0,0.0,0.0,280.0,2.0,4.962,0
2.0,0.0,0.0,479.0,1.0,1.299,0
4.0,0.0,0.0,80.0,2.0,4.966,0
3.0,0.0,0.0,172.0,1.0,1.405,0
1.0,0.0,0.0,1300.0,3.0,4.963,0
2.0,1.0,0.0,326.0,4.0,1.313,0
4.0,0.0,0.0,480.0,2.0,1.266,0
2.0,0.0,0.0,234.0,13.0,4.858,0
4.0,0.0,0.0,210.0,1.0,4.963,0
4.0,0.0,0.0,286.0,9.0,4.963,0
4.0,0.0,0.0,155.0,2.0,4.153,0
3.0,1.0,0.0,124.0,12.0,4.962,0
4.0,0.0,0.0,7.0,4.0,1.25,0
3.0,0.0,0.0,122.0,4.0,4.961,0
5.0,1.0,0.0,130.0,1.0,4.857,0
2.0,0.0,0.0,51.0,1.0,4.958,0
8.0,0.0,2.0,1121.0,3.0,1.354,0
1.0,0.0,0.0,903.0,4.0,1.244,1
4.0,0.0,1.0,263.0,1.0,0.767,1
3.0,0.0,0.0,93.0,1.0,4.858,0
3.0,0.0,1.0,357.0,1.0,1.291,0
2.0,0.0,0.0,263.0,1.0,4.96,0
3.0,0.0,0.0,307.0,2.0,4.958,0
4.0,1.0,1.0,131.0,1.0,4.12,0
2.0,0.0,0.0,126.0,3.0,4.963,0
3.0,0.0,0.0,528.0,2.0,4.962,0
2.0,0.0,0.0,22.0,3.0,1.244,0
6.0,1.0,0.0,490.0,1.0,4.855,0
2.0,0.0,0.0,473.0,1.0,4.856,0
4.0,0.0,0.0,266.0,2.0,4.963,0
2.0,0.0,0.0,30.0,2.0,4.968,0
0.0,1.0,1.0,114.0,1.0,1.405,0
10.0,0.0,2.0,294.0,2.0,1.365,1
3.0,0.0,0.0,94.0,1.0,4.962,0
2.0,0.0,0.0,14.0,11.0,4.965,0
2.0,0.0,0.0,67.0,3.0,4.12,0
2.0,0.0,0.0,109.0,1.0,1.264,0
2.0,1.0,0.0,212.0,5.0,4.857,0
3.0,1.0,0.0,176.0,1.0,4.967,0
1.0,1.0,0.0,98.0,5.0,4.965,0
4.0,0.0,0.0,183.0,1.0,4.965,0
4.0,1.0,0.0,226.0,1.0,4.856,0
3.0,1.0,0.0,150.0,3.0,4.076,0
3.0,0.0,0.0,202.0,1.0,4.855,0
10.0,0.0,0.0,113.0,2.0,4.957,0
8.0,1.0,0.0,571.0,1.0,4.962,0
4.0,0.0,0.0,713.0,2.0,0.72,1
2.0,0.0,1.0,801.0,5.0,1.244,1
2.0,0.0,0.0,180.0,2.0,4.857,0
5.0,1.0,1.0,203.0,2.0,1.405,0
2.0,0.0,0.0,39.0,6.0,4.962,0
10.0,1.0,0.0,175.0,3.0,4.958,0
4.0,0.0,0.0,422.0,4.0,1.423,0
4.0,0.0,0.0,220.0,2.0,4.864,0
2.0,1.0,0.0,152.0,1.0,4.856,0
3.0,0.0,0.0,96.0,3.0,4.964,0
2.0,0.0,0.0,171.0,3.0,4.962,0
1.0,0.0,0.0,99.0,1.0,4.153,0
3.0,1.0,2.0,214.0,1.0,1.344,0
6.0,1.0,0.0,88.0,5.0,4.857,0
6.0,0.0,0.0,128.0,1.0,1.266,0
2.0,0.0,0.0,414.0,2.0,0.81,1
10.0,0.0,0.0,322.0,3.0,4.12,0
1.0,0.0,0.0,113.0,1.0,1.244,0
4.0,0.0,1.0,130.0,1.0,0.714,1
4.0,1.0,0.0,51.0,2.0,4.965,0
1.0,1.0,0.0,59.0,1.0,4.957,0
4.0,1.0,0.0,442.0,11.0,4.865,0
3.0,0.0,0.0,207.0,1.0,1.405,0
2.0,0.0,0.0,21.0,35.0,4.962,0
2.0,0.0,0.0,49.0,1.0,4.962,0
1.0,1.0,0.0,313.0,3.0,4.857,0
5.0,0.0,0.0,145.0,1.0,1.453,0
8.0,0.0,0.0,414.0,2.0,4.967,0
2.0,0.0,1.0,111.0,2.0,1.26,0
2.0,1.0,0.0,230.0,1.0,1.244,0
6.0,0.0,0.0,202.0,1.0,4.865,0
6.0,0.0,0.0,751.0,1.0,4.857,1
5.0,0.0,0.0,12.0,5.0,4.959,0
2.0,0.0,0.0,148.0,2.0,4.962,0
2.0,0.0,0.0,222.0,1.0,4.12,0
2.0,0.0,0.0,109.0,1.0,1.365,0
4.0,0.0,0.0,251.0,2.0,4.021,0
2.0,0.0,0.0,355.0,2.0,4.966,0
5.0,1.0,0.0,108.0,2.0,4.963,0
3.0,1.0,1.0,182.0,2.0,1.313,0
8.0,0.0,0.0,338.0,2.0,4.865,0
4.0,1.0,0.0,180.0,1.0,4.191,0
2.0,0.0,0.0,209.0,1.0,4.961,0
2.0,0.0,0.0,319.0,1.0,4.855,0
2.0,0.0,0.0,135.0,1.0,4.12,0
3.0,1.0,0.0,832.0,2.0,4.858,0
1.0,0.0,0.0,74.0,2.0,1.25,0
6.0,0.0,0.0,310.0,5.0,4.962,0
4.0,0.0,0.0,242.0,6.0,4.955,0
2.0,0.0,0.0,238.0,1.0,4.961,0
3.0,0.0,0.0,143.0,1.0,4.857,0
2.0,0.0,2.0,768.0,2.0,0.889,0
2.0,0.0,0.0,187.0,4.0,1.291,0
3.0,0.0,0.0,165.0,1.0,1.299,0
3.0,1.0,0.0,714.0,1.0,4.961,0
10.0,0.0,0.0,127.0,1.0,4.959,0
4.0,0.0,0.0,161.0,5.0,4.021,0
2.0,0.0,0.0,148.0,2.0,4.864,0
7.0,1.0,0.0,399.0,8.0,4.962,0
3.0,0.0,0.0,2078.0,6.0,4.963,1
2.0,0.0,0.0,42.0,1.0,1.099,0
7.0,0.0,2.0,627.0,2.0,0.714,1
0.0,0.0,0.0,84.0,1.0,4.153,0
4.0,0.0,1.0,569.0,1.0,1.327,0
9.0,0.0,0.0,89.0,1.0,4.859,0
8.0,0.0,0.0,81.0,1.0,4.191,0
1.0,0.0,0.0,109.0,1.0,1.291,0
7.0,0.0,0.0,263.0,1.0,1.466,0
1.0,0.0,0.0,153.0,1.0,4.961,0
4.0,0.0,0.0,79.0,1.0,4.963,0
3.0,0.0,0.0,123.0,1.0,1.26,0
2.0,1.0,1.0,500.0,2.0,1.25,0
3.0,0.0,0.0,96.0,1.0,4.962,0
2.0,0.0,0.0,168.0,1.0,4.857,0
6.0,1.0,0.0,73.0,4.0,4.959,0
